Fecha,Numero1,Numero2,Numero3,Numero4,Numero5,Numero6,Complementario,Reintegro
29/12/2023,4,15,20,26,29,41,37,2
28/12/2023,6,14,15,16,20,40,28,9
27/12/2023,13,34,35,37,45,49,22,7
26/12/2023,13,25,30,39,43,49,10,9
25/12/2023,3,19,22,27,35,44,8,4
24/12/2023,1,11,17,22,36,42,9,0
23/12/2023,6,18,23,24,37,39,28,3
22/12/2023,8,9,15,21,23,48,12,2
21/12/2023,16,18,30,34,37,38,15,5
20/12/2023,4,5,8,37,45,46,26,3
19/12/2023,15,38,40,43,46,47,25,0
18/12/2023,6,8,11,32,37,49,24,3
17/12/2023,5,20,24,35,37,44,47,0
16/12/2023,11,13,19,26,29,36,40,4
15/12/2023,5,9,15,39,43,48,45,7
14/12/2023,6,34,38,42,44,47,9,8
13/12/2023,9,16,17,32,39,46,42,6
12/12/2023,11,17,31,35,38,49,40,4
11/12/2023,7,16,17,26,35,41,30,3
10/12/2023,7,9,11,15,28,41,45,1
9/12/2023,7,14,21,23,24,32,38,1
8/12/2023,20,21,38,39,41,45,1,4
7/12/2023,7,9,15,16,24,28,40,9
6/12/2023,9,23,31,43,45,46,41,2
5/12/2023,8,30,32,39,47,48,11,5
4/12/2023,3,14,18,24,34,40,23,2
3/12/2023,3,19,35,43,47,49,46,0
2/12/2023,12,16,22,35,37,46,31,4
1/12/2023,14,33,35,37,42,45,5,4
30/11/2023,1,14,33,41,43,45,38,6
29/11/2023,5,13,14,18,29,37,48,4
28/11/2023,9,19,22,33,43,48,28,8
27/11/2023,8,15,22,23,33,49,14,5
26/11/2023,13,16,17,34,37,42,36,6
25/11/2023,21,35,36,42,43,46,19,5
24/11/2023,4,6,14,29,36,44,33,2
23/11/2023,6,10,20,32,35,46,33,8
22/11/2023,16,20,29,44,46,48,4,2
21/11/2023,2,8,29,37,41,48,10,6
20/11/2023,7,13,23,26,37,49,32,2
19/11/2023,3,24,32,33,38,43,22,6
18/11/2023,17,20,25,27,28,36,34,2
17/11/2023,17,25,28,31,44,47,37,0
16/11/2023,8,9,14,17,21,47,29,4
15/11/2023,2,3,22,30,45,46,4,1
14/11/2023,3,15,21,26,30,43,34,7
13/11/2023,7,10,12,16,34,46,29,2
12/11/2023,1,25,35,41,43,44,3,2
11/11/2023,2,10,14,33,36,39,17,8
10/11/2023,1,5,9,14,17,46,34,9
9/11/2023,4,7,11,24,29,39,8,4
8/11/2023,5,6,8,22,28,30,41,1
7/11/2023,10,14,17,27,30,46,22,9
6/11/2023,7,27,33,34,40,47,26,8
5/11/2023,2,5,13,37,39,48,46,2
4/11/2023,13,18,35,37,40,44,43,7
3/11/2023,1,4,11,34,36,41,33,4
2/11/2023,10,13,23,36,44,48,31,1
1/11/2023,2,16,21,23,31,46,38,7
31/10/2023,11,14,17,36,40,41,2,1
30/10/2023,12,23,31,35,41,43,5,0
29/10/2023,6,9,14,19,21,44,41,2
28/10/2023,12,25,32,36,39,45,18,0
27/10/2023,1,8,13,14,27,49,24,1
26/10/2023,4,6,13,21,44,48,38,6
25/10/2023,2,4,16,25,40,42,13,4
24/10/2023,1,10,32,34,37,45,31,2
23/10/2023,16,20,41,43,45,46,31,4
22/10/2023,7,12,20,26,34,39,31,8
21/10/2023,14,15,18,20,30,41,35,1
20/10/2023,2,7,9,23,24,42,14,8
19/10/2023,5,7,12,20,31,40,27,2
18/10/2023,6,15,27,31,36,38,7,7
17/10/2023,3,10,12,22,24,32,44,1
16/10/2023,10,22,26,27,32,34,13,5
15/10/2023,10,16,23,31,41,46,29,6
14/10/2023,3,15,29,35,44,48,46,1
13/10/2023,7,8,11,34,44,48,38,0
12/10/2023,13,20,28,33,35,43,7,6
11/10/2023,7,10,25,38,40,45,1,3
10/10/2023,12,19,20,21,22,24,26,8
9/10/2023,3,13,17,34,37,47,11,6
8/10/2023,5,26,27,29,33,37,38,1
7/10/2023,3,17,24,39,42,44,29,3
6/10/2023,2,35,37,44,47,48,42,2
5/10/2023,15,17,18,36,42,46,16,2
4/10/2023,3,29,37,40,44,49,1,0
3/10/2023,18,21,23,36,42,47,12,3
2/10/2023,5,13,18,21,24,41,14,7
1/10/2023,11,14,19,26,42,47,13,0
30/09/2023,4,6,8,16,28,34,33,4
29/09/2023,12,23,29,34,36,43,47,5
28/09/2023,12,15,17,22,26,39,45,5
27/09/2023,4,23,31,39,42,45,34,7
26/09/2023,8,10,16,24,29,45,40,1
25/09/2023,1,7,8,20,29,48,27,7
24/09/2023,12,17,37,39,46,48,25,7
23/09/2023,10,12,20,21,27,38,9,2
22/09/2023,10,18,26,36,41,49,3,1
21/09/2023,1,10,16,18,19,42,12,5
20/09/2023,4,5,7,10,41,48,44,9
19/09/2023,18,22,30,31,32,40,9,6
18/09/2023,4,13,22,37,39,40,35,8
17/09/2023,3,9,15,24,30,45,6,0
16/09/2023,4,11,16,23,25,42,27,2
15/09/2023,3,9,12,26,41,44,22,5
14/09/2023,8,9,15,17,43,45,26,0
13/09/2023,3,15,23,26,27,33,13,4
12/09/2023,7,10,20,28,30,45,46,9
11/09/2023,17,22,31,36,38,47,42,1
10/09/2023,3,4,6,25,42,45,16,6
09/09/2023,6,7,9,14,35,41,27,4
08/09/2023,12,15,31,40,47,48,30,8
07/09/2023,3,17,23,36,42,46,19,5
06/09/2023,15,24,29,30,35,39,42,8
05/09/2023,21,24,36,43,44,48,15,4
04/09/2023,13,31,32,37,39,41,10,8
03/09/2023,2,9,28,38,41,49,34,1
02/09/2023,3,9,13,15,24,32,35,5
01/09/2023,12,14,21,28,33,35,3,3
31/08/2023,6,9,13,15,28,38,47,1
30/08/2023,4,5,32,35,37,48,21,5
29/08/2023,12,14,15,18,42,45,41,6
28/08/2023,7,9,30,36,43,45,34,1
27/08/2023,11,16,28,31,46,48,15,5
26/08/2023,1,6,8,12,36,41,47,4
25/08/2023,2,6,11,24,25,33,49,5
24/08/2023,8,20,27,39,44,45,32,2
23/08/2023,8,10,15,19,21,27,13,7
22/08/2023,5,13,15,23,30,48,3,3
21/08/2023,6,18,26,31,43,47,41,4
20/08/2023,9,13,15,16,27,38,22,5
19/08/2023,11,12,21,26,28,30,34,4
18/08/2023,8,9,10,21,31,40,19,4
17/08/2023,5,12,33,36,39,49,27,0
16/08/2023,4,11,13,15,21,40,22,6
15/08/2023,2,4,7,9,34,41,23,2
14/08/2023,24,25,27,31,39,41,47,4
13/08/2023,9,10,16,30,45,49,27,8
12/08/2023,3,17,24,30,42,49,7,8
11/08/2023,13,14,17,19,21,43,20,0
10/08/2023,8,22,25,29,33,35,39,2
09/08/2023,2,4,9,16,21,35,17,6
08/08/2023,19,21,28,29,35,39,38,5
07/08/2023,1,9,11,20,31,45,15,8
06/08/2023,7,15,20,36,41,43,9,5
05/08/2023,6,7,13,16,34,46,36,9
04/08/2023,6,25,30,31,41,45,17,6
03/08/2023,16,31,33,34,37,47,15,7
02/08/2023,16,19,27,32,36,39,47,6
01/08/2023,5,11,13,15,23,27,22,4
31/07/2023,9,11,18,24,26,33,22,4
30/07/2023,2,3,17,27,34,40,23,9
29/07/2023,1,2,7,25,40,43,39,6
28/07/2023,22,28,32,34,38,45,3,4
27/07/2023,17,20,27,36,43,49,37,1
26/07/2023,9,22,31,35,38,43,5,1
25/07/2023,6,9,24,27,35,43,3,8
24/07/2023,4,10,21,34,41,44,40,7
23/07/2023,8,15,19,28,30,33,40,9
22/07/2023,4,5,6,9,25,40,17,4
21/07/2023,32,34,35,40,41,48,21,7
20/07/2023,7,28,37,42,46,48,27,1
19/07/2023,13,15,27,31,39,48,40,1
18/07/2023,4,7,10,24,25,43,2,5
17/07/2023,12,13,19,34,41,43,49,4
16/07/2023,11,16,20,38,48,49,28,1
15/07/2023,30,31,40,44,46,49,25,5
14/07/2023,2,25,26,28,32,47,13,6
13/07/2023,5,7,16,25,32,38,17,9
12/07/2023,18,19,26,27,30,47,25,4
11/07/2023,2,13,15,22,35,37,20,7
10/07/2023,26,29,31,38,39,43,47,9
09/07/2023,3,9,16,17,33,43,44,8
08/07/2023,7,13,25,31,33,37,23,8
07/07/2023,1,24,28,39,40,44,36,4
06/07/2023,22,28,36,41,42,49,3,4
05/07/2023,1,25,31,32,39,44,23,3
04/07/2023,8,20,21,35,38,46,32,7
03/07/2023,6,10,11,20,37,40,25,1
02/07/2023,1,7,12,19,25,39,29,5
01/07/2023,7,9,16,23,28,46,14,9
30/06/2023,8,15,22,40,43,48,4,5
29/06/2023,12,25,26,35,37,39,23,0
28/06/2023,6,9,13,15,16,17,28,0
27/06/2023,19,20,33,40,42,44,15,8
26/06/2023,3,18,25,26,31,49,14,1
25/06/2023,1,4,24,27,32,43,7,4
